Facility_Name,Latitude,Longitude,Existing
North Devon District Hospital,51.09217,-4.05043,No
Honiton Hospital,50.79492,-3.18659,Yes
Tiverton & District Hospital,50.90933,-3.49308,No
Exmouth Minor Injury Unit,50.62083,-3.40198,No
Victoria Hospital (Sidmouth),50.68161,-3.23966,No
Newton Abbot Community Hospital,50.53926,-3.61224,Yes
Totnes Community Hospital,50.43283,-3.68406,No
NHS Walk in Centre (Exeter),50.72658,-3.52521,No
Tavistock Hospital,50.54708,-4.15376,No
South Hams Hospital (Kingsbridge),50.28929,-3.78143,No
Cumberland Centre (Plymouth),50.37004,-4.16873,Yes
Derriford Hospital (UTC),50.41802,-4.1189,No
Ilfracombe & District Tyrrell Hospital,51.20468,-4.12454,No
South Molton Hospital,51.01681,-3.83823,No
Dawlish Community Hospital,50.58057,-3.47482,No
,,,
