from_id,Bideford Community Hospital,NHS Nightingale Exeter,"Colin Campbell Court, Plymouth",Torbay & South Devon Community Diagnostic Centre,Tiverton - Lowman Way,Okehampton - Exeter Road Industrial Estate,Crediton - Lords Meadow,South Molton - Pathfields,Newton Abbott - Market Walk,Bovey Tracey - Blue Waters,Honiton - Devonshire Road,Exmouth - The Strand,Barnstaple - Archwood Retail Park,Ilfracombe - Wilder Road,Kingsbridge - Fore Street,Tavistock - Drake Road,Holsworthy - Underlane,Paignton - Hyde Road
Plymouth 001A,65.95,44.55,10.5,45.95,60.5,36.4,57.816666,80.183334,34.0,31.316668,55.45,54.433334,74.0,92.5,33.266666,15.916667,55.516666,37.85
Plymouth 002A,67.566666,44.866665,10.816667,46.266666,60.816666,38.016666,58.116665,81.8,34.316666,31.633333,55.766666,54.75,75.61667,94.1,33.583332,17.516666,57.116665,38.016666
Plymouth 003A,69.11667,44.083332,10.033334,45.483334,60.033333,39.566666,57.333332,79.0,33.666668,30.983334,54.983334,53.966667,77.166664,95.65,32.933334,19.066668,58.666668,37.383335
Plymouth 003B,70.61667,45.383335,11.533334,46.766666,61.333332,41.066666,58.633335,80.28333,34.966667,32.283333,56.283333,55.25,78.666664,97.15,34.233334,20.566668,60.183334,38.666668
Plymouth 003C,71.916664,46.516666,12.833333,47.9,62.466667,42.383335,59.766666,81.416664,36.1,33.416668,57.416668,56.383335,79.96667,98.46667,35.366665,21.883333,61.483334,39.8
Plymouth 004A,70.46667,45.5,11.666667,46.883335,61.45,40.916668,58.75,80.416664,35.083332,32.4,56.4,55.366665,78.51667,97.01667,34.35,20.433332,60.033333,38.8
Plymouth 007A,69.066666,44.033333,9.983334,45.433334,59.983334,39.516666,57.283333,78.95,33.616665,30.95,54.933334,53.916668,77.11667,95.61667,32.883335,19.016666,58.633335,37.333332
Plymouth 007B,69.333336,42.916668,8.866667,44.316666,58.866665,39.783333,56.166668,77.833336,32.516666,29.833334,53.816666,52.8,77.38333,95.86667,31.783333,19.283333,58.883335,36.216667
Plymouth 008A,69.53333,42.433334,8.366667,43.816666,58.366665,39.983334,55.683334,77.333336,32.016666,29.333334,53.333332,52.3,77.583336,96.066666,31.283333,19.483334,59.1,35.716667
Plymouth 008B,69.05,42.333332,8.283334,43.733334,58.283333,39.5,55.6,77.25,31.933332,29.25,53.233334,52.216667,77.1,95.583336,31.2,19.0,58.616665,35.633335
Plymouth 008C,70.2,42.6,9.45,44.0,58.55,40.65,55.866665,77.51667,32.2,29.516666,53.5,52.483334,78.25,96.75,31.466667,20.166666,59.766666,35.9
Plymouth 008D,68.416664,42.016666,7.9666667,43.416668,57.966667,38.883335,55.266666,76.933334,31.6,28.933332,52.916668,51.9,76.46667,94.96667,30.866667,18.383333,57.983334,35.316666
Plymouth 010A,72.683334,41.616665,10.966666,43.016666,57.566666,43.133335,54.866665,76.53333,31.2,28.533333,52.516666,51.5,80.73333,99.21667,30.466667,22.633333,62.233334,34.916668
Plymouth 010B,71.433334,43.033333,10.666667,44.433334,58.983334,41.883335,56.3,77.95,32.633335,29.95,53.933334,52.916668,79.48333,97.96667,31.9,21.383333,60.983334,36.333332
Plymouth 010C,70.916664,40.7,10.05,42.1,56.65,41.366665,53.966667,75.61667,30.3,27.616667,51.6,50.583332,78.98333,97.46667,29.566668,20.883333,60.483334,34.0
Plymouth 012A,72.73333,42.533333,7.1,43.916668,58.466667,43.2,55.783333,77.433334,32.116665,29.433332,53.433334,52.4,80.78333,99.28333,31.383333,22.7,62.3,35.816666
Plymouth 012B,72.46667,43.816666,6.5333333,45.216667,59.766666,42.933334,57.066666,78.73333,33.416668,30.733334,54.716667,53.7,80.51667,99.01667,32.666668,22.433332,62.033333,37.116665
Plymouth 012C,72.95,42.85,5.6833334,44.25,58.8,43.4,56.116665,77.76667,32.45,29.766666,53.75,52.733334,81.0,99.48333,31.716667,22.9,62.5,36.15
Plymouth 012D,71.55,43.05,10.783334,44.45,59.0,42.0,56.3,77.96667,32.65,29.966667,53.95,52.933334,79.6,98.1,31.916666,21.5,61.116665,36.35
Plymouth 012E,71.88333,41.666668,11.016666,43.066666,57.616665,42.333332,54.916668,76.583336,31.266666,28.583334,52.566666,51.55,79.933334,98.433334,30.533333,21.85,61.45,34.966667
Plymouth 013A,72.03333,44.25,4.483333,45.65,60.2,42.5,57.5,79.166664,33.85,31.166666,55.15,54.133335,80.083336,98.583336,33.1,22.0,61.6,37.55
Plymouth 014A,72.75,44.783333,6.4,46.183334,60.733334,43.2,58.05,79.7,34.383335,31.7,55.683334,54.666668,80.8,99.28333,33.65,22.7,62.316666,38.083332
Plymouth 014B,73.416664,45.466667,5.65,46.85,61.416668,43.866665,58.716667,80.36667,35.05,32.366665,56.366665,55.333332,81.46667,99.96667,34.316666,23.383333,62.983334,38.766666
Plymouth 014C,73.45,45.483334,6.05,46.883335,61.433334,43.9,58.733334,80.4,35.083332,32.4,56.383335,55.366665,81.5,99.98333,34.35,23.4,63.016666,38.783333
Plymouth 016A,70.1,42.2,7.0666666,43.6,58.15,40.55,55.45,77.11667,31.8,29.116667,53.1,52.083332,78.15,96.65,31.066668,20.05,59.666668,35.5
Plymouth 016B,70.21667,42.316666,4.6833334,43.716667,58.266666,40.666668,55.583332,77.23333,31.916666,29.233334,53.216667,52.2,78.26667,96.76667,31.183332,20.166666,59.783333,35.616665
Plymouth 016C,70.96667,43.066666,5.05,44.466667,59.016666,41.416668,56.333332,77.98333,32.666668,29.983334,53.966667,52.95,79.01667,97.51667,31.933332,20.916666,60.533333,36.366665
Plymouth 016D,72.0,44.166668,5.366667,45.55,60.116665,42.45,57.416668,79.083336,33.75,31.066668,55.066666,54.033333,80.05,98.55,33.016666,21.966667,61.566666,37.466667
Plymouth 020A,74.333336,46.55,6.516667,47.933334,62.5,44.783333,59.8,81.45,36.133335,33.45,57.45,56.416668,82.38333,100.86667,35.4,24.283333,63.9,39.833332
Plymouth 020B,73.65,45.85,5.8333335,47.25,61.8,44.1,59.116665,80.76667,35.45,32.766666,56.75,55.733334,81.7,100.183334,34.716667,23.6,63.2,39.15
Plymouth 021A,72.85,40.7,9.183333,42.083332,56.65,43.3,53.95,75.61667,30.283333,27.6,51.6,50.583332,80.9,99.4,29.55,22.816668,62.416668,34.0
Plymouth 021B,72.03333,39.883335,7.1833334,41.283333,55.833332,42.5,53.133335,74.8,29.466667,26.783333,50.783333,49.766666,80.083336,98.583336,28.733334,22.0,61.6,33.183334
Plymouth 021C,75.75,43.6,6.4333334,45.0,59.55,46.216667,56.85,78.51667,33.183334,30.5,54.5,53.483334,83.8,102.3,32.45,25.716667,65.316666,36.9
Plymouth 021D,73.166664,41.016666,5.483333,42.4,56.966667,43.616665,54.266666,75.916664,30.6,27.916666,51.916668,50.883335,81.21667,99.7,29.866667,23.116667,62.733334,34.316666
Plymouth 021E,73.86667,42.316666,4.45,43.7,58.25,44.316666,55.566666,77.21667,31.9,29.216667,53.216667,52.183334,82.51667,101.0,31.166666,23.816668,63.433334,35.6
