from_id,Barnstaple - Archwood Retail Park,Bideford Community Hospital,Bovey Tracey - Blue Waters,"Colin Campbell Court, Plymouth",Crediton - Lords Meadow,Exmouth - The Strand,Holsworthy - Underlane,Honiton - Devonshire Road,Ilfracombe - Wilder Road,Kingsbridge - Fore Street,NHS Nightingale Exeter,Newton Abbott - Market Walk,Okehampton - Exeter Road Industrial Estate,Paignton - Hyde Road,South Molton - Pathfields,Tavistock - Drake Road,Tiverton - Lowman Way,Torbay & South Devon Community Diagnostic Centre
East Devon 001A,279.0,312.0,228.0,244.0,196.0,201.0,342.0,82.0,361.0,297.0,131.0,201.0,248.0,255.0,264.0,314.0,192.0,240.0
East Devon 001B,462.0,506.0,275.0,335.0,276.0,258.0,9999.0,150.0,514.0,9999.0,216.0,288.0,9999.0,344.0,452.0,412.0,318.0,333.0
East Devon 001C,484.0,528.0,9999.0,368.0,357.0,337.0,9999.0,224.0,536.0,9999.0,286.0,364.0,9999.0,372.0,474.0,445.0,9999.0,395.0
East Devon 002A,279.0,312.0,204.0,208.0,184.0,131.0,342.0,31.0,361.0,291.0,104.0,193.0,207.0,247.0,260.0,273.0,186.0,234.0
East Devon 002B,279.0,312.0,205.0,206.0,182.0,132.0,342.0,29.0,361.0,287.0,102.0,189.0,207.0,244.0,260.0,273.0,182.0,230.0
East Devon 002C,279.0,312.0,212.0,209.0,184.0,136.0,342.0,40.0,361.0,289.0,107.0,191.0,207.0,245.0,264.0,274.0,184.0,232.0
East Devon 002D,279.0,312.0,209.0,215.0,190.0,134.0,342.0,43.0,361.0,297.0,109.0,199.0,207.0,253.0,262.0,274.0,192.0,240.0
East Devon 003A,279.0,312.0,200.0,205.0,182.0,128.0,342.0,19.0,361.0,292.0,101.0,191.0,207.0,247.0,257.0,270.0,187.0,233.0
East Devon 003B,279.0,312.0,206.0,216.0,188.0,132.0,342.0,36.0,361.0,297.0,109.0,197.0,207.0,253.0,261.0,276.0,192.0,239.0
East Devon 003C,279.0,312.0,200.0,205.0,182.0,128.0,342.0,23.0,361.0,293.0,101.0,191.0,207.0,247.0,256.0,270.0,188.0,233.0
East Devon 003D,279.0,312.0,204.0,211.0,186.0,130.0,342.0,27.0,361.0,297.0,106.0,195.0,207.0,251.0,259.0,272.0,192.0,237.0
East Devon 004A,279.0,312.0,200.0,219.0,194.0,130.0,342.0,83.0,361.0,297.0,112.0,192.0,226.0,248.0,255.0,288.0,192.0,233.0
East Devon 004D,279.0,312.0,228.0,244.0,223.0,221.0,342.0,107.0,361.0,297.0,153.0,231.0,270.0,271.0,264.0,314.0,192.0,272.0
East Devon 004E,279.0,312.0,228.0,242.0,205.0,210.0,342.0,207.0,361.0,297.0,160.0,250.0,253.0,278.0,264.0,312.0,192.0,283.0
East Devon 004F,279.0,312.0,199.0,200.0,175.0,157.0,342.0,122.0,361.0,282.0,101.0,184.0,212.0,241.0,254.0,269.0,205.0,225.0
East Devon 004G,279.0,312.0,226.0,220.0,193.0,177.0,342.0,87.0,361.0,297.0,116.0,199.0,215.0,253.0,264.0,282.0,202.0,240.0
East Devon 005B,279.0,312.0,228.0,244.0,196.0,197.0,342.0,85.0,361.0,297.0,131.0,201.0,248.0,255.0,264.0,314.0,192.0,240.0
East Devon 005C,279.0,312.0,228.0,244.0,196.0,190.0,342.0,85.0,361.0,297.0,131.0,201.0,241.0,255.0,264.0,314.0,192.0,240.0
East Devon 005D,279.0,312.0,228.0,244.0,196.0,190.0,342.0,85.0,361.0,297.0,131.0,201.0,241.0,255.0,264.0,314.0,192.0,240.0
East Devon 005E,292.0,325.0,284.0,307.0,298.0,287.0,9999.0,214.0,374.0,375.0,235.0,310.0,9999.0,339.0,277.0,381.0,241.0,355.0
East Devon 005F,279.0,312.0,228.0,244.0,196.0,195.0,342.0,85.0,361.0,297.0,131.0,201.0,246.0,255.0,264.0,314.0,192.0,240.0
East Devon 005G,291.0,324.0,240.0,256.0,224.0,199.0,344.0,109.0,373.0,309.0,155.0,229.0,268.0,274.0,276.0,326.0,204.0,269.0
East Devon 007A,279.0,312.0,228.0,244.0,192.0,126.0,342.0,76.0,361.0,297.0,124.0,199.0,207.0,253.0,264.0,299.0,192.0,240.0
East Devon 007B,279.0,312.0,228.0,244.0,192.0,123.0,342.0,78.0,361.0,297.0,121.0,199.0,207.0,253.0,264.0,299.0,192.0,240.0
East Devon 007C,279.0,312.0,228.0,244.0,192.0,172.0,342.0,73.0,361.0,297.0,131.0,199.0,223.0,253.0,264.0,302.0,192.0,240.0
East Devon 007D,279.0,312.0,228.0,244.0,203.0,174.0,342.0,95.0,361.0,297.0,139.0,210.0,236.0,257.0,264.0,309.0,192.0,251.0
East Devon 007E,360.0,453.0,262.0,285.0,231.0,197.0,342.0,177.0,401.0,353.0,161.0,232.0,270.0,287.0,331.0,359.0,257.0,273.0
East Devon 008A,279.0,312.0,184.0,195.0,170.0,132.0,342.0,90.0,361.0,275.0,92.0,177.0,207.0,238.0,256.0,266.0,206.0,221.0
East Devon 008B,279.0,312.0,195.0,206.0,179.0,117.0,342.0,109.0,361.0,291.0,98.0,188.0,207.0,244.0,254.0,271.0,213.0,230.0
East Devon 008C,277.0,305.0,166.0,180.0,136.0,107.0,335.0,52.0,354.0,243.0,70.0,166.0,200.0,228.0,249.0,254.0,167.0,211.0
East Devon 008D,279.0,312.0,180.0,192.0,169.0,125.0,342.0,66.0,361.0,275.0,88.0,177.0,207.0,237.0,252.0,264.0,197.0,221.0
East Devon 008E,279.0,309.0,173.0,187.0,163.0,118.0,339.0,53.0,358.0,268.0,79.0,172.0,204.0,233.0,250.0,259.0,184.0,216.0
East Devon 009A,289.0,322.0,200.0,219.0,187.0,122.0,342.0,86.0,371.0,297.0,113.0,191.0,217.0,247.0,259.0,285.0,207.0,233.0
East Devon 009B,279.0,312.0,228.0,244.0,194.0,176.0,342.0,77.0,361.0,297.0,131.0,200.0,227.0,254.0,264.0,306.0,192.0,240.0
East Devon 009C,279.0,312.0,173.0,187.0,167.0,104.0,342.0,77.0,361.0,274.0,84.0,173.0,207.0,233.0,249.0,267.0,173.0,216.0
East Devon 010A,279.0,312.0,205.0,224.0,187.0,115.0,342.0,82.0,361.0,297.0,110.0,196.0,207.0,252.0,260.0,286.0,192.0,238.0
East Devon 010B,279.0,312.0,201.0,220.0,183.0,104.0,342.0,78.0,361.0,297.0,105.0,192.0,207.0,248.0,256.0,282.0,192.0,234.0
East Devon 010C,279.0,312.0,211.0,227.0,188.0,104.0,342.0,78.0,361.0,293.0,111.0,195.0,207.0,249.0,263.0,287.0,188.0,236.0
East Devon 010D,279.0,312.0,211.0,227.0,190.0,104.0,342.0,79.0,361.0,295.0,112.0,197.0,207.0,251.0,263.0,288.0,190.0,238.0
East Devon 010E,279.0,312.0,205.0,224.0,187.0,104.0,342.0,77.0,361.0,295.0,109.0,196.0,207.0,251.0,260.0,285.0,190.0,238.0
East Devon 011A,279.0,312.0,166.0,180.0,162.0,104.0,342.0,67.0,361.0,268.0,77.0,167.0,207.0,230.0,249.0,260.0,170.0,212.0
East Devon 011B,279.0,312.0,162.0,172.0,153.0,104.0,342.0,70.0,361.0,238.0,69.0,163.0,207.0,223.0,249.0,251.0,161.0,207.0
East Devon 011C,279.0,312.0,156.0,153.0,141.0,94.0,342.0,77.0,361.0,226.0,57.0,156.0,207.0,214.0,249.0,239.0,143.0,198.0
East Devon 011D,279.0,312.0,160.0,167.0,149.0,95.0,342.0,72.0,361.0,234.0,65.0,161.0,207.0,220.0,249.0,247.0,153.0,204.0
East Devon 012A,279.0,312.0,159.0,163.0,147.0,92.0,342.0,73.0,361.0,232.0,63.0,160.0,207.0,219.0,249.0,245.0,149.0,203.0
East Devon 012B,279.0,312.0,162.0,172.0,153.0,97.0,342.0,76.0,361.0,238.0,69.0,163.0,207.0,223.0,249.0,251.0,161.0,207.0
East Devon 012C,279.0,312.0,159.0,165.0,148.0,94.0,342.0,75.0,361.0,233.0,64.0,160.0,207.0,219.0,249.0,246.0,151.0,204.0
East Devon 013A,279.0,312.0,155.0,144.0,132.0,79.0,342.0,92.0,361.0,217.0,48.0,147.0,207.0,205.0,249.0,232.0,134.0,189.0
East Devon 013B,280.0,313.0,202.0,218.0,175.0,89.0,342.0,157.0,362.0,277.0,100.0,179.0,208.0,239.0,259.0,278.0,210.0,222.0
East Devon 013C,279.0,312.0,162.0,179.0,138.0,73.0,342.0,147.0,361.0,223.0,83.0,153.0,207.0,216.0,249.0,255.0,141.0,200.0
East Devon 014A,277.0,304.0,147.0,135.0,116.0,89.0,334.0,106.0,353.0,208.0,39.0,138.0,199.0,196.0,249.0,223.0,118.0,180.0
East Devon 014B,271.0,292.0,103.0,129.0,116.0,30.0,322.0,126.0,341.0,202.0,68.0,113.0,187.0,174.0,249.0,212.0,118.0,158.0
East Devon 014C,279.0,312.0,158.0,180.0,138.0,45.0,342.0,148.0,361.0,216.0,91.0,136.0,207.0,199.0,249.0,248.0,150.0,181.0
East Devon 015A,279.0,312.0,164.0,186.0,151.0,29.0,342.0,155.0,361.0,216.0,108.0,139.0,207.0,206.0,249.0,254.0,161.0,187.0
East Devon 015B,279.0,312.0,161.0,175.0,142.0,32.0,342.0,147.0,361.0,216.0,97.0,140.0,207.0,205.0,249.0,255.0,149.0,187.0
East Devon 015C,279.0,312.0,162.0,176.0,141.0,31.0,342.0,145.0,361.0,216.0,94.0,138.0,207.0,204.0,249.0,252.0,152.0,186.0
East Devon 015D,279.0,312.0,169.0,183.0,147.0,27.0,342.0,152.0,361.0,216.0,106.0,142.0,207.0,209.0,249.0,261.0,159.0,191.0
East Devon 016A,279.0,312.0,161.0,175.0,138.0,36.0,342.0,143.0,361.0,216.0,90.0,137.0,207.0,202.0,249.0,251.0,150.0,185.0
East Devon 016B,279.0,309.0,153.0,175.0,133.0,25.0,339.0,143.0,358.0,213.0,84.0,132.0,204.0,195.0,249.0,243.0,144.0,177.0
East Devon 016C,277.0,305.0,149.0,171.0,129.0,17.0,335.0,139.0,354.0,209.0,82.0,128.0,200.0,191.0,249.0,239.0,138.0,173.0
East Devon 016D,277.0,304.0,148.0,170.0,128.0,24.0,334.0,138.0,353.0,208.0,81.0,127.0,199.0,190.0,249.0,238.0,136.0,172.0
East Devon 017A,279.0,312.0,171.0,190.0,167.0,45.0,342.0,171.0,361.0,228.0,127.0,158.0,207.0,221.0,249.0,265.0,174.0,203.0
East Devon 017B,290.0,323.0,176.0,198.0,172.0,63.0,342.0,175.0,372.0,236.0,131.0,166.0,218.0,228.0,260.0,270.0,178.0,212.0
East Devon 017C,279.0,312.0,174.0,191.0,167.0,43.0,342.0,169.0,361.0,224.0,125.0,154.0,207.0,219.0,249.0,266.0,175.0,201.0
East Devon 017D,279.0,312.0,173.0,191.0,168.0,48.0,342.0,173.0,361.0,228.0,129.0,158.0,207.0,221.0,249.0,266.0,176.0,203.0
East Devon 018A,279.0,312.0,169.0,183.0,148.0,28.0,342.0,152.0,361.0,216.0,108.0,143.0,207.0,210.0,249.0,262.0,159.0,191.0
East Devon 018B,279.0,312.0,167.0,183.0,146.0,22.0,342.0,151.0,361.0,216.0,102.0,140.0,207.0,206.0,249.0,257.0,158.0,189.0
